City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ribeira Grande,PT,68.72,few clouds,38.5167,-28.7,Quinta da Meia Eira
6,Praia Da Vitoria,PT,70.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
7,Rikitea,PF,71.24,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Sutto,HU,65.03,few clouds,47.7589,18.4487,Piszke Vendégház
12,Atuona,PF,77.4,scattered clouds,-9.8,-139.0333,Villa Enata
14,Bengkulu,ID,74.46,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Azad Shahr,IR,72.12,clear sky,34.7909,48.5707,مزارحاج علی ربانی
23,Amahai,ID,77.7,broken clouds,-3.3333,128.9167,HOTEL ISABELA
24,Jamestown,US,77.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Sept-Iles,CA,65.25,scattered clouds,50.2001,-66.3821,Comfort Inn
27,Namibe,AO,64.02,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
31,Linxia,CN,62.01,scattered clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
32,Inongo,CD,71.85,few clouds,-1.95,18.2667,Hotel Du Lac
33,Valleyview,CA,72.5,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
37,Omboue,GA,72.91,few clouds,-1.5746,9.2618,Hotel Olako
41,Manitouwadge,CA,71.46,clear sky,49.1215,-85.8403,Select Inn
42,Arraial Do Cabo,BR,66.61,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
45,Sosva,RU,64.38,broken clouds,59.1766,61.8558,Gostinitsa
52,Killybegs,IE,63.45,broken clouds,54.6333,-8.45,Tara Hotel
55,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
61,Riacho De Santana,BR,73.81,clear sky,-13.6092,-42.9389,Apartamento de Kaio.
64,Fukue,JP,79.95,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
67,Grand Gaube,MU,71.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
68,Sao Joao Da Barra,BR,64.6,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
69,Haines Junction,CA,76.59,broken clouds,60.7522,-137.5108,Parkside Inn
70,Poum,NC,70.32,clear sky,-20.2333,164.0167,Gîte kajeon
74,Sibolga,ID,76.06,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
77,Yellowknife,CA,74.28,broken clouds,62.456,-114.3525,The Explorer Hotel
82,Soe,ID,65.7,few clouds,-9.8607,124.284,Dena Hotel
83,Faanui,PF,78.6,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Caravelas,BR,71.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
