City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,La Ronge,CA,2021-07-17 21:16:36,55.1001,-105.2842,57.45,62,90,14.97
1,Barrow,US,2021-07-17 21:16:36,71.2906,-156.7887,53.62,93,90,17.27
2,Hermanus,ZA,2021-07-17 21:16:37,-34.4187,19.2345,53.91,90,6,9.28
3,Kloulklubed,PW,2021-07-17 21:16:37,7.0419,134.2556,77.5,77,100,5.7
4,Vaini,TO,2021-07-17 21:16:37,-21.2,-175.2,77.16,88,75,8.05
5,Pacific Grove,US,2021-07-17 21:16:38,36.6177,-121.9166,91.56,81,40,10.0
6,Lianzhou,CN,2021-07-17 21:16:38,24.7811,112.3825,74.91,98,99,2.33
7,Cape Town,ZA,2021-07-17 21:16:38,-33.9258,18.4232,56.1,96,0,1.99
8,Longonjo,AO,2021-07-17 21:16:38,-12.9067,15.2533,62.98,37,14,1.43
9,Tasiilaq,GL,2021-07-17 21:16:39,65.6145,-37.6368,44.76,70,100,6.22
10,Atuona,PF,2021-07-17 21:16:10,-9.8,-139.0333,78.28,77,22,26.08
11,Rikitea,PF,2021-07-17 21:16:39,-23.1203,-134.9692,71.96,76,99,27.47
12,Namatanai,PG,2021-07-17 21:16:40,-3.6667,152.4333,79.54,85,79,6.42
13,Carnarvon,AU,2021-07-17 21:16:40,-24.8667,113.6333,55.47,59,89,5.75
14,Kruisfontein,ZA,2021-07-17 21:16:40,-34.0033,24.7314,45.88,75,0,5.73
15,Albany,US,2021-07-17 21:15:55,42.6001,-73.9662,78.8,88,100,4.29
16,San Jeronimo,PE,2021-07-17 21:16:41,-11.9472,-75.2829,58.15,48,65,10.58
17,Port Antonio,JM,2021-07-17 21:16:41,18.18,-76.4612,90.91,68,26,12.08
18,Nemuro,JP,2021-07-17 21:15:49,43.3236,145.575,61.27,88,99,1.34
19,Port Blair,IN,2021-07-17 21:16:41,11.6667,92.75,81.23,81,100,12.91
20,Butaritari,KI,2021-07-17 21:16:32,3.0707,172.7902,84.18,75,9,17.4
21,Ushuaia,AR,2021-07-17 21:16:42,-54.8,-68.3,33.46,93,0,2.3
22,Castro,BR,2021-07-17 21:16:42,-24.7911,-50.0119,55.76,96,27,5.41
23,Maraba,BR,2021-07-17 21:16:42,-5.3686,-49.1178,84.38,79,40,3.44
24,Tuktoyaktuk,CA,2021-07-17 21:16:43,69.4541,-133.0374,77.0,41,40,16.11
25,Bredasdorp,ZA,2021-07-17 21:15:55,-34.5322,20.0403,54.72,94,2,2.3
26,Lufilufi,WS,2021-07-17 21:16:43,-13.8745,-171.5986,87.58,79,34,24.74
27,Aguilas,ES,2021-07-17 21:16:43,37.4063,-1.5829,83.21,68,0,2.66
28,Ust-Nera,RU,2021-07-17 21:16:44,64.5667,143.2,65.16,52,38,5.97
29,Davila,PH,2021-07-17 21:16:44,18.4726,120.5763,80.29,85,100,8.99
30,Thompson,CA,2021-07-17 21:14:00,55.7435,-97.8558,69.24,28,66,7.36
31,Victoria,HK,2021-07-17 21:15:02,22.2855,114.1577,84.18,90,100,1.01
32,Isangel,VU,2021-07-17 21:16:45,-19.55,169.2667,78.91,89,20,5.75
33,Hobart,AU,2021-07-17 21:16:45,-42.8794,147.3294,48.92,72,40,1.01
34,Yellowknife,CA,2021-07-17 21:15:00,62.456,-114.3525,62.33,44,2,5.99
35,Puerto Ayora,EC,2021-07-17 21:16:45,-0.7393,-90.3518,78.76,92,94,5.99
36,Tiksi,RU,2021-07-17 21:16:46,71.6872,128.8694,39.43,75,91,8.08
37,Tezu,IN,2021-07-17 21:16:46,27.9167,96.1667,76.08,98,100,0.85
38,Lebu,CL,2021-07-17 21:16:46,-37.6167,-73.65,50.13,66,8,16.06
39,Bluff,NZ,2021-07-17 21:15:47,-46.6,168.3333,43.81,82,100,10.27
40,Kavieng,PG,2021-07-17 21:16:47,-2.5744,150.7967,82.51,78,98,12.39
41,La Reforma,MX,2021-07-17 21:16:47,25.0833,-108.05,101.75,53,70,14.18
42,Saskylakh,RU,2021-07-17 21:16:47,71.9167,114.0833,50.61,61,86,7.74
43,Kaitangata,NZ,2021-07-17 21:15:43,-46.2817,169.8464,45.64,91,100,5.75
44,Busselton,AU,2021-07-17 21:16:48,-33.65,115.3333,45.09,71,5,10.02
45,Souillac,MU,2021-07-17 21:16:48,-20.5167,57.5167,72.36,73,40,12.66
46,Hof,DE,2021-07-17 21:16:49,50.3167,11.9167,67.62,80,76,11.01
47,Asfi,MA,2021-07-17 21:16:49,32.2994,-9.2372,72.46,77,0,17.49
48,Ponta Do Sol,PT,2021-07-17 21:16:39,32.6667,-17.1,72.72,83,2,3.96
49,Quatre Cocos,MU,2021-07-17 21:16:49,-20.2078,57.7625,72.09,75,28,15.39
50,Touros,BR,2021-07-17 21:16:50,-5.1989,-35.4608,74.3,81,38,14.45
51,Thinadhoo,MV,2021-07-17 21:16:50,0.5333,72.9333,83.39,70,36,8.25
52,Shenjiamen,CN,2021-07-17 21:16:50,29.9576,122.298,77.52,88,100,8.43
53,San Cristobal,VE,2021-07-17 21:16:51,7.7669,-72.225,82.58,59,31,5.86
54,Sao Gabriel Da Cachoeira,BR,2021-07-17 21:16:51,-0.1303,-67.0892,81.91,82,97,1.9
55,Rafai,CF,2021-07-17 21:16:51,4.95,23.9167,68.54,90,100,2.1
56,Mulege,MX,2021-07-17 21:16:52,26.8833,-111.9833,94.71,46,0,16.17
57,Mataura,NZ,2021-07-17 21:15:55,-46.1927,168.8643,43.48,94,98,2.64
58,Keighley,GB,2021-07-17 21:16:52,53.8679,-1.9066,73.92,64,0,13.8
59,Port Alfred,ZA,2021-07-17 21:15:46,-33.5906,26.891,56.89,73,0,8.7
60,Port Elizabeth,ZA,2021-07-17 21:16:53,-33.918,25.5701,53.89,94,40,8.05
61,Punta Arenas,CL,2021-07-17 21:16:07,-53.15,-70.9167,39.31,81,75,12.66
62,Mahebourg,MU,2021-07-17 21:16:53,-20.4081,57.7,72.25,73,40,12.66
63,Kushima,JP,2021-07-17 21:16:54,31.4583,131.2333,76.51,94,100,6.31
64,Severo-Kurilsk,RU,2021-07-17 21:16:54,50.6789,156.125,55.8,97,100,2.75
65,Chernyshevskiy,RU,2021-07-17 21:16:54,63.0128,112.4714,59.45,88,59,6.26
66,Valdivia,CL,2021-07-17 21:16:55,-39.8142,-73.2459,41.09,83,100,2.95
67,Pangody,RU,2021-07-17 21:16:55,65.85,74.4859,43.52,84,1,4.5
68,Labuhan,ID,2021-07-17 21:16:55,-6.8844,112.2051,75.27,82,68,8.19
69,Jiexiu,CN,2021-07-17 21:16:55,37.0244,111.9125,71.42,88,100,4.65
70,Jamestown,US,2021-07-17 21:15:20,42.097,-79.2353,74.52,94,90,11.5
71,Narsaq,GL,2021-07-17 21:16:56,60.9167,-46.05,55.62,66,100,1.19
72,Katsuura,JP,2021-07-17 21:16:56,35.1333,140.3,80.11,89,43,5.26
73,Sitka,US,2021-07-17 21:14:39,57.0531,-135.33,62.49,77,75,4.61
74,Saint-Philippe,RE,2021-07-17 21:16:57,-21.3585,55.7679,67.59,77,40,11.41
